"cancer","year","sex","race","stage","age","summary_interval","starting_count","net_relative","net_rel_cum_cis_lower","net_rel_cum_cis_upper"
"pancreas","2000-2018","all sexes","black","early","all ages","36 mo",299,42.2,35.9,48.3
"pancreas","2000-2018","all sexes","black","early","all ages","48 mo",299,41,34.5,47.3
"pancreas","2000-2018","all sexes","black","early","all ages","60 mo",299,38.8,32.1,45.4
"pancreas","2000-2018","all sexes","black","early","all ages","72 mo",299,37.3,30.4,44.1
"pancreas","2000-2018","all sexes","black","early","all ages","84 mo",299,37.3,30.4,44.1
"pancreas","2000-2018","all sexes","black","early","all ages","96 mo",299,37,29.3,44.7
"pancreas","2000-2018","all sexes","black","early","all ages","108 mo",299,36,28,44.1
"pancreas","2000-2018","all sexes","black","early","all ages","120 mo",299,33.6,23.8,43.7
"pancreas","2000-2018","all sexes","black","early","<65","0 mo",122,100,NA,NA
"pancreas","2000-2018","all sexes","black","early","<65","12 mo",122,74.4,65.5,81.3
"pancreas","2000-2018","all sexes","black","early","<65","24 mo",122,70.5,61.2,78
"pancreas","2000-2018","all sexes","black","early","<65","36 mo",122,65.1,55.3,73.3
"pancreas","2000-2018","all sexes","black","early","<65","48 mo",122,63.2,53.1,71.8
"pancreas","2000-2018","all sexes","black","early","<65","60 mo",122,62.2,51.8,71
"pancreas","2000-2018","all sexes","black","early","<65","72 mo",122,59.4,48.5,68.8
"pancreas","2000-2018","all sexes","black","early","<65","84 mo",122,59.4,48.5,68.8
"pancreas","2000-2018","all sexes","black","early","<65","96 mo",122,58.2,46.1,68.5
"pancreas","2000-2018","all sexes","black","early","<65","108 mo",122,58.2,46.1,68.5
"pancreas","2000-2018","all sexes","black","early","<65","120 mo",122,58.2,46.1,68.5
"pancreas","2000-2018","all sexes","black","early",">65","0 mo",177,100,NA,NA
"pancreas","2000-2018","all sexes","black","early",">65","12 mo",177,45.5,37.7,52.9
"pancreas","2000-2018","all sexes","black","early",">65","24 mo",177,31.9,24.5,39.5
"pancreas","2000-2018","all sexes","black","early",">65","36 mo",177,26.2,19,33.9
"pancreas","2000-2018","all sexes","black","early",">65","48 mo",177,25.4,17.9,33.5
"pancreas","2000-2018","all sexes","black","early",">65","60 mo",177,22.4,15,30.8
"pancreas","2000-2018","all sexes","black","early",">65","72 mo",177,21.3,13.8,29.8
"pancreas","2000-2018","all sexes","black","early",">65","84 mo",177,21.3,13.8,29.8
"pancreas","2000-2018","all sexes","black","early",">65","96 mo",177,21.3,13.8,29.8
"pancreas","2000-2018","all sexes","black","early",">65","108 mo",177,20.8,12,31.3
"pancreas","2000-2018","all sexes","black","early",">65","120 mo",177,14.9,5.2,29.3
"pancreas","2000-2018","all sexes","black","late","all ages","0 mo",2564,100,NA,NA
"pancreas","2000-2018","all sexes","black","late","all ages","12 mo",2564,26.6,24.9,28.4
"pancreas","2000-2018","all sexes","black","late","all ages","24 mo",2564,12.7,11.3,14
"pancreas","2000-2018","all sexes","black","late","all ages","36 mo",2564,8.1,7,9.3
"pancreas","2000-2018","all sexes","black","late","all ages","48 mo",2564,6.4,5.4,7.5
"pancreas","2000-2018","all sexes","black","late","all ages","60 mo",2564,5.5,4.6,6.6
"pancreas","2000-2018","all sexes","black","late","all ages","72 mo",2564,4.8,3.9,5.9
"pancreas","2000-2018","all sexes","black","late","all ages","84 mo",2564,4.3,3.4,5.4
"pancreas","2000-2018","all sexes","black","late","all ages","96 mo",2564,4.2,3.2,5.3
"pancreas","2000-2018","all sexes","black","late","all ages","108 mo",2564,4,3.1,5.2
"pancreas","2000-2018","all sexes","black","late","all ages","120 mo",2564,3.9,2.9,5.1
"pancreas","2000-2018","all sexes","black","late","<65","0 mo",1183,100,NA,NA
"pancreas","2000-2018","all sexes","black","late","<65","12 mo",1183,33.4,30.7,36.1
"pancreas","2000-2018","all sexes","black","late","<65","24 mo",1183,16.7,14.5,18.9
"pancreas","2000-2018","all sexes","black","late","<65","36 mo",1183,11.2,9.4,13.2
"pancreas","2000-2018","all sexes","black","late","<65","48 mo",1183,8.7,7.1,10.6
"pancreas","2000-2018","all sexes","black","late","<65","60 mo",1183,7.6,6,9.4
"pancreas","2000-2018","all sexes","black","late","<65","72 mo",1183,6.9,5.4,8.7
"pancreas","2000-2018","all sexes","black","late","<65","84 mo",1183,6,4.5,7.8
"pancreas","2000-2018","all sexes","black","late","<65","96 mo",1183,6,4.5,7.8
"pancreas","2000-2018","all sexes","black","late","<65","108 mo",1183,5.7,4.1,7.5
"pancreas","2000-2018","all sexes","black","late","<65","120 mo",1183,5.7,4.1,7.5
"pancreas","2000-2018","all sexes","black","late",">65","0 mo",1381,100,NA,NA
"pancreas","2000-2018","all sexes","black","late",">65","12 mo",1381,20.8,18.7,23.1
"pancreas","2000-2018","all sexes","black","late",">65","24 mo",1381,9.2,7.7,10.9
"pancreas","2000-2018","all sexes","black","late",">65","36 mo",1381,5.4,4.2,6.8
"pancreas","2000-2018","all sexes","black","late",">65","48 mo",1381,4.3,3.2,5.7
"pancreas","2000-2018","all sexes","black","late",">65","60 mo",1381,3.7,2.7,5.1
"pancreas","2000-2018","all sexes","black","late",">65","72 mo",1381,3,1.9,4.4
"pancreas","2000-2018","all sexes","black","late",">65","84 mo",1381,2.9,1.8,4.3
"pancreas","2000-2018","all sexes","black","late",">65","96 mo",1381,2.5,1.5,4
"pancreas","2000-2018","all sexes","black","late",">65","108 mo",1381,2.5,1.5,4
"pancreas","2000-2018","all sexes","black","late",">65","120 mo",1381,2.4,1.3,4.1
"pancreas","2000-2018","all sexes","black","unstaged","all ages","0 mo",174,100,NA,NA
"pancreas","2000-2018","all sexes","black","unstaged","all ages","12 mo",174,21.4,15.5,27.9
"pancreas","2000-2018","all sexes","black","unstaged","all ages","24 mo",174,16.9,11.6,23.1
"pancreas","2000-2018","all sexes","black","unstaged","all ages","36 mo",174,14.7,9.7,20.8
"pancreas","2000-2018","all sexes","black","unstaged","all ages","48 mo",174,14.2,9.1,20.5
"pancreas","2000-2018","all sexes","black","unstaged","all ages","60 mo",174,14.2,9.1,20.5
"pancreas","2000-2018","all sexes","black","unstaged","all ages","72 mo",174,9.2,4.4,16.3
"pancreas","2000-2018","all sexes","black","unstaged","all ages","84 mo",174,9.2,4.4,16.3
"pancreas","2000-2018","all sexes","black","unstaged","all ages","96 mo",174,8.4,3.5,15.9
"pancreas","2000-2018","all sexes","black","unstaged","all ages","108 mo",174,8.4,3.5,15.9
"pancreas","2000-2018","all sexes","black","unstaged","all ages","120 mo",174,7.8,3.2,15.3
"pancreas","2000-2018","all sexes","black","unstaged","<65","0 mo",44,100,NA,NA
"pancreas","2000-2018","all sexes","black","unstaged","<65","12 mo",44,50.6,34.9,64.3
"pancreas","2000-2018","all sexes","black","unstaged","<65","24 mo",44,43.9,28.8,58
"pancreas","2000-2018","all sexes","black","unstaged","<65","36 mo",44,41.8,26.7,56.2
"pancreas","2000-2018","all sexes","black","unstaged","<65","48 mo",44,39.7,24.5,54.5
"pancreas","2000-2018","all sexes","black","unstaged","<65","60 mo",44,39.7,24.5,54.5
"pancreas","2000-2018","all sexes","black","unstaged","<65","72 mo",44,28.5,13.9,45
"pancreas","2000-2018","all sexes","black","unstaged","<65","84 mo",44,28.5,13.9,45
"pancreas","2000-2018","all sexes","black","unstaged","<65","96 mo",44,28.5,13.9,45
"pancreas","2000-2018","all sexes","black","unstaged","<65","108 mo",44,28.5,13.9,45
"pancreas","2000-2018","all sexes","black","unstaged","<65","120 mo",44,25.4,11.2,42.5
"pancreas","2000-2018","all sexes","black","unstaged",">65","0 mo",130,100,NA,NA
"pancreas","2000-2018","all sexes","black","unstaged",">65","12 mo",130,11.5,6.6,17.8
"pancreas","2000-2018","all sexes","black","unstaged",">65","24 mo",130,7.8,3.9,13.6
"pancreas","2000-2018","all sexes","black","unstaged",">65","36 mo",130,5.6,2.3,10.8
"pancreas","2000-2018","all sexes","black","unstaged",">65","48 mo",130,5.5,2.2,11.2
"pancreas","2000-2018","all sexes","black","unstaged",">65","60 mo",130,5.5,2.2,11.2
"pancreas","2000-2018","all sexes","black","unstaged",">65","72 mo",130,3,0.5,9.8
"pancreas","2000-2018","all sexes","black","unstaged",">65","84 mo",130,3,0.5,9.8
"pancreas","2000-2018","all sexes","black","unstaged",">65","96 mo",130,1.9,0.2,8.9
"pancreas","2000-2018","all sexes","black","unstaged",">65","108 mo",130,1.9,0.2,8.9
"pancreas","2000-2018","all sexes","black","unstaged",">65","120 mo",130,1.9,0.2,8.9
"pancreas","2000-2018","all sexes","all races","invasive","all ages","0 mo",30223,100,NA,NA
"pancreas","2000-2018","all sexes","all races","invasive","all ages","12 mo",30223,31.5,30.9,32
"pancreas","2000-2018","all sexes","all races","invasive","all ages","24 mo",30223,16.8,16.4,17.3
"pancreas","2000-2018","all sexes","all races","invasive","all ages","36 mo",30223,12,11.6,12.4
"pancreas","2000-2018","all sexes","all races","invasive","all ages","48 mo",30223,9.9,9.6,10.3
"pancreas","2000-2018","all sexes","all races","invasive","all ages","60 mo",30223,8.8,8.5,9.2
"pancreas","2000-2018","all sexes","all races","invasive","all ages","72 mo",30223,8.1,7.7,8.4
"pancreas","2000-2018","all sexes","all races","invasive","all ages","84 mo",30223,7.5,7.2,7.9
"pancreas","2000-2018","all sexes","all races","invasive","all ages","96 mo",30223,7.1,6.7,7.5
"pancreas","2000-2018","all sexes","all races","invasive","all ages","108 mo",30223,6.6,6.2,7
"pancreas","2000-2018","all sexes","all races","invasive","all ages","120 mo",30223,6.3,5.8,6.7
"pancreas","2000-2018","all sexes","all races","invasive","<65","0 mo",10429,100,NA,NA
"pancreas","2000-2018","all sexes","all races","invasive","<65","12 mo",10429,42.3,41.3,43.2
"pancreas","2000-2018","all sexes","all races","invasive","<65","24 mo",10429,24.4,23.6,25.3
"pancreas","2000-2018","all sexes","all races","invasive","<65","36 mo",10429,17.9,17.2,18.7
"pancreas","2000-2018","all sexes","all races","invasive","<65","48 mo",10429,15.1,14.4,15.8
"pancreas","2000-2018","all sexes","all races","invasive","<65","60 mo",10429,13.4,12.7,14.2
"pancreas","2000-2018","all sexes","all races","invasive","<65","72 mo",10429,12.4,11.7,13.1
"pancreas","2000-2018","all sexes","all races","invasive","<65","84 mo",10429,11.7,11,12.5
"pancreas","2000-2018","all sexes","all races","invasive","<65","96 mo",10429,11.1,10.4,11.9
"pancreas","2000-2018","all sexes","all races","invasive","<65","108 mo",10429,10.4,9.7,11.1
"pancreas","2000-2018","all sexes","all races","invasive","<65","120 mo",10429,10,9.3,10.8
"pancreas","2000-2018","all sexes","all races","invasive",">65","0 mo",19794,100,NA,NA
"pancreas","2000-2018","all sexes","all races","invasive",">65","12 mo",19794,25.8,25.1,26.4
"pancreas","2000-2018","all sexes","all races","invasive",">65","24 mo",19794,12.8,12.3,13.3
"pancreas","2000-2018","all sexes","all races","invasive",">65","36 mo",19794,8.8,8.4,9.3
"pancreas","2000-2018","all sexes","all races","invasive",">65","48 mo",19794,7.2,6.8,7.6
"pancreas","2000-2018","all sexes","all races","invasive",">65","60 mo",19794,6.4,6,6.8
"pancreas","2000-2018","all sexes","all races","invasive",">65","72 mo",19794,5.8,5.3,6.2
"pancreas","2000-2018","all sexes","all races","invasive",">65","84 mo",19794,5.3,4.9,5.8
"pancreas","2000-2018","all sexes","all races","invasive",">65","96 mo",19794,4.9,4.4,5.4
"pancreas","2000-2018","all sexes","all races","invasive",">65","108 mo",19794,4.5,4.1,5.1
"pancreas","2000-2018","all sexes","all races","invasive",">65","120 mo",19794,4.3,3.7,4.8
"pancreas","2000-2018","all sexes","all races","early","all ages","0 mo",2814,100,NA,NA
"pancreas","2000-2018","all sexes","all races","early","all ages","12 mo",2814,59.9,57.9,61.7
"pancreas","2000-2018","all sexes","all races","early","all ages","24 mo",2814,49.1,47.1,51.1
"pancreas","2000-2018","all sexes","all races","early","all ages","36 mo",2814,45.6,43.5,47.6
"pancreas","2000-2018","all sexes","all races","early","all ages","48 mo",2814,43.7,41.5,45.8
"pancreas","2000-2018","all sexes","all races","early","all ages","60 mo",2814,42,39.8,44.2
"pancreas","2000-2018","all sexes","all races","early","all ages","72 mo",2814,41.1,38.8,43.4
"pancreas","2000-2018","all sexes","all races","early","all ages","84 mo",2814,39.8,37.4,42.3
"pancreas","2000-2018","all sexes","all races","early","all ages","96 mo",2814,39,36.4,41.6
"pancreas","2000-2018","all sexes","all races","early","all ages","108 mo",2814,37.3,34.4,40.2
"pancreas","2000-2018","all sexes","all races","early","all ages","120 mo",2814,36.9,33.8,40.1
"pancreas","2000-2018","all sexes","all races","early","<65","0 mo",916,100,NA,NA
"pancreas","2000-2018","all sexes","all races","early","<65","12 mo",916,84.4,81.8,86.6
"pancreas","2000-2018","all sexes","all races","early","<65","24 mo",916,77.3,74.3,79.9
"pancreas","2000-2018","all sexes","all races","early","<65","36 mo",916,73,69.7,75.9
"pancreas","2000-2018","all sexes","all races","early","<65","48 mo",916,71.2,67.8,74.2
"pancreas","2000-2018","all sexes","all races","early","<65","60 mo",916,68.6,65.1,71.9
"pancreas","2000-2018","all sexes","all races","early","<65","72 mo",916,66.8,63,70.2
"pancreas","2000-2018","all sexes","all races","early","<65","84 mo",916,65.1,61.1,68.7
"pancreas","2000-2018","all sexes","all races","early","<65","96 mo",916,64.5,60.5,68.3
"pancreas","2000-2018","all sexes","all races","early","<65","108 mo",916,62.3,58,66.4
"pancreas","2000-2018","all sexes","all races","early","<65","120 mo",916,61.5,56.9,65.7
"pancreas","2000-2018","all sexes","all races","early",">65","0 mo",1898,100,NA,NA
"pancreas","2000-2018","all sexes","all races","early",">65","12 mo",1898,48,45.7,50.4
"pancreas","2000-2018","all sexes","all races","early",">65","24 mo",1898,35.5,33.1,37.8
"pancreas","2000-2018","all sexes","all races","early",">65","36 mo",1898,32.3,29.9,34.7
"pancreas","2000-2018","all sexes","all races","early",">65","48 mo",1898,30.4,27.9,32.9
"pancreas","2000-2018","all sexes","all races","early",">65","60 mo",1898,29.1,26.5,31.7
"pancreas","2000-2018","all sexes","all races","early",">65","72 mo",1898,28.7,26,31.4
"pancreas","2000-2018","all sexes","all races","early",">65","84 mo",1898,27.6,24.7,30.6
"pancreas","2000-2018","all sexes","all races","early",">65","96 mo",1898,26.7,23.5,29.9
"pancreas","2000-2018","all sexes","all races","early",">65","108 mo",1898,25.2,21.7,28.9
"pancreas","2000-2018","all sexes","all races","early",">65","120 mo",1898,24.9,21.2,28.8
"pancreas","2000-2018","all sexes","all races","late","all ages","0 mo",25477,100,NA,NA
"pancreas","2000-2018","all sexes","all races","late","all ages","12 mo",25477,29.7,29.1,30.3
"pancreas","2000-2018","all sexes","all races","late","all ages","24 mo",25477,14.2,13.8,14.7
"pancreas","2000-2018","all sexes","all races","late","all ages","36 mo",25477,9.1,8.7,9.5
"pancreas","2000-2018","all sexes","all races","late","all ages","48 mo",25477,7.1,6.7,7.4
"pancreas","2000-2018","all sexes","all races","late","all ages","60 mo",25477,6,5.7,6.3
"pancreas","2000-2018","all sexes","all races","late","all ages","72 mo",25477,5.3,4.9,5.6
"pancreas","2000-2018","all sexes","all races","late","all ages","84 mo",25477,4.8,4.5,5.2
"pancreas","2000-2018","all sexes","all races","late","all ages","96 mo",25477,4.3,4,4.7
"pancreas","2000-2018","all sexes","all races","late","all ages","108 mo",25477,4,3.6,4.3
"pancreas","2000-2018","all sexes","all races","late","all ages","120 mo",25477,3.7,3.4,4.1
"pancreas","2000-2018","all sexes","all races","late","<65","0 mo",9275,100,NA,NA
"pancreas","2000-2018","all sexes","all races","late","<65","12 mo",9275,38.5,37.5,39.5
"pancreas","2000-2018","all sexes","all races","late","<65","24 mo",9275,19.5,18.7,20.3
"pancreas","2000-2018","all sexes","all races","late","<65","36 mo",9275,12.9,12.2,13.7
"pancreas","2000-2018","all sexes","all races","late","<65","48 mo",9275,10.1,9.4,10.7
"pancreas","2000-2018","all sexes","all races","late","<65","60 mo",9275,8.5,7.9,9.2
"pancreas","2000-2018","all sexes","all races","late","<65","72 mo",9275,7.6,7,8.3
"pancreas","2000-2018","all sexes","all races","late","<65","84 mo",9275,7,6.4,7.7
"pancreas","2000-2018","all sexes","all races","late","<65","96 mo",9275,6.4,5.8,7
"pancreas","2000-2018","all sexes","all races","late","<65","108 mo",9275,5.8,5.3,6.5
"pancreas","2000-2018","all sexes","all races","late","<65","120 mo",9275,5.6,5,6.2
"pancreas","2000-2018","all sexes","all races","late",">65","0 mo",16202,100,NA,NA
"pancreas","2000-2018","all sexes","all races","late",">65","12 mo",16202,24.7,24,25.4
"pancreas","2000-2018","all sexes","all races","late",">65","24 mo",16202,11.2,10.7,11.7
"pancreas","2000-2018","all sexes","all races","late",">65","36 mo",16202,6.9,6.5,7.3
"pancreas","2000-2018","all sexes","all races","late",">65","48 mo",16202,5.3,4.9,5.7
"pancreas","2000-2018","all sexes","all races","late",">65","60 mo",16202,4.5,4.1,4.9
"pancreas","2000-2018","all sexes","all races","late",">65","72 mo",16202,3.9,3.5,4.3
"pancreas","2000-2018","all sexes","all races","late",">65","84 mo",16202,3.6,3.2,4
"pancreas","2000-2018","all sexes","all races","late",">65","96 mo",16202,3.1,2.7,3.5
"pancreas","2000-2018","all sexes","all races","late",">65","108 mo",16202,2.9,2.5,3.3
"pancreas","2000-2018","all sexes","all races","late",">65","120 mo",16202,2.6,2.2,3.1
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","0 mo",2080,100,NA,NA
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","12 mo",2080,18.9,17.2,20.7
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","24 mo",2080,11.5,10.1,13
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","36 mo",2080,8.7,7.4,10.1
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","48 mo",2080,7.1,5.9,8.4
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","60 mo",2080,6.1,5,7.4
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","72 mo",2080,5.2,4.1,6.5
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","84 mo",2080,4.7,3.6,6
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","96 mo",2080,4.7,3.6,6
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","108 mo",2080,4.5,3.3,5.9
"pancreas","2000-2018","all sexes","all races","unstaged","all ages","120 mo",2080,4,2.9,5.4
"pancreas","2000-2018","all sexes","all races","unstaged","<65","0 mo",296,100,NA,NA
"pancreas","2000-2018","all sexes","all races","unstaged","<65","12 mo",296,42.2,36.5,47.8
"pancreas","2000-2018","all sexes","all races","unstaged","<65","24 mo",296,31.1,25.9,36.5
"pancreas","2000-2018","all sexes","all races","unstaged","<65","36 mo",296,24.1,19.2,29.3
"pancreas","2000-2018","all sexes","all races","unstaged","<65","48 mo",296,20.6,15.9,25.6
"pancreas","2000-2018","all sexes","all races","unstaged","<65","60 mo",296,19,14.5,24
"pancreas","2000-2018","all sexes","all races","unstaged","<65","72 mo",296,16.8,12.5,21.7
"pancreas","2000-2018","all sexes","all races","unstaged","<65","84 mo",296,16.8,12.5,21.7
"pancreas","2000-2018","all sexes","all races","unstaged","<65","96 mo",296,16.8,12.5,21.7
"pancreas","2000-2018","all sexes","all races","unstaged","<65","108 mo",296,15.7,11.3,20.7
"pancreas","2000-2018","all sexes","all races","unstaged","<65","120 mo",296,14.6,10.3,19.7
"pancreas","2000-2018","all sexes","all races","unstaged",">65","0 mo",1784,100,NA,NA
"pancreas","2000-2018","all sexes","all races","unstaged",">65","12 mo",1784,15.1,13.4,16.8
"pancreas","2000-2018","all sexes","all races","unstaged",">65","24 mo",1784,8.3,6.9,9.7
"pancreas","2000-2018","all sexes","all races","unstaged",">65","36 mo",1784,6.1,5,7.5
"pancreas","2000-2018","all sexes","all races","unstaged",">65","48 mo",1784,4.8,3.8,6.1
"pancreas","2000-2018","all sexes","all races","unstaged",">65","60 mo",1784,4,3,5.2
"pancreas","2000-2018","all sexes","all races","unstaged",">65","72 mo",1784,3.3,2.4,4.6
"pancreas","2000-2018","all sexes","all races","unstaged",">65","84 mo",1784,2.7,1.7,3.9
"pancreas","2000-2018","all sexes","all races","unstaged",">65","96 mo",1784,2.7,1.7,3.9
"pancreas","2000-2018","all sexes","all races","unstaged",">65","108 mo",1784,2.6,1.6,3.9
"pancreas","2000-2018","all sexes","all races","unstaged",">65","120 mo",1784,2.2,1.3,3.6
"pancreas","2000-2018","male","white","invasive","all ages","0 mo",13658,100,NA,NA
"pancreas","2000-2018","male","white","invasive","all ages","12 mo",13658,32.9,32.1,33.7
"pancreas","2000-2018","male","white","invasive","all ages","24 mo",13658,17.3,16.6,17.9
"pancreas","2000-2018","male","white","invasive","all ages","36 mo",13658,12.2,11.6,12.8
"pancreas","2000-2018","male","white","invasive","all ages","48 mo",13658,10,9.5,10.6
"pancreas","2000-2018","male","white","invasive","all ages","60 mo",13658,8.9,8.3,9.4
"pancreas","2000-2018","male","white","invasive","all ages","72 mo",13658,8.2,7.6,8.7
"pancreas","2000-2018","male","white","invasive","all ages","84 mo",13658,7.8,7.2,8.4
"pancreas","2000-2018","male","white","invasive","all ages","96 mo",13658,7.1,6.5,7.7
"pancreas","2000-2018","male","white","invasive","all ages","108 mo",13658,6.4,5.8,7.1
"pancreas","2000-2018","male","white","invasive","all ages","120 mo",13658,6,5.4,6.7
"pancreas","2000-2018","male","white","invasive","<65","0 mo",5348,100,NA,NA
"pancreas","2000-2018","male","white","invasive","<65","12 mo",5348,40.6,39.3,41.9
"pancreas","2000-2018","male","white","invasive","<65","24 mo",5348,22.4,21.2,23.5
"pancreas","2000-2018","male","white","invasive","<65","36 mo",5348,16.1,15.1,17.2
"pancreas","2000-2018","male","white","invasive","<65","48 mo",5348,13.4,12.4,14.3
"pancreas","2000-2018","male","white","invasive","<65","60 mo",5348,11.8,10.9,12.8
"pancreas","2000-2018","male","white","invasive","<65","72 mo",5348,11.1,10.1,12
"pancreas","2000-2018","male","white","invasive","<65","84 mo",5348,10.5,9.6,11.5
"pancreas","2000-2018","male","white","invasive","<65","96 mo",5348,9.7,8.8,10.7
"pancreas","2000-2018","male","white","invasive","<65","108 mo",5348,8.8,7.9,9.8
"pancreas","2000-2018","male","white","invasive","<65","120 mo",5348,8.3,7.3,9.3
"pancreas","2000-2018","male","white","invasive",">65","0 mo",8310,100,NA,NA
"pancreas","2000-2018","male","white","invasive",">65","12 mo",8310,28,27,29
"pancreas","2000-2018","male","white","invasive",">65","24 mo",8310,14,13.2,14.8
"pancreas","2000-2018","male","white","invasive",">65","36 mo",8310,9.6,8.9,10.3
"pancreas","2000-2018","male","white","invasive",">65","48 mo",8310,7.9,7.3,8.6
"pancreas","2000-2018","male","white","invasive",">65","60 mo",8310,7,6.3,7.7
"pancreas","2000-2018","male","white","invasive",">65","72 mo",8310,6.3,5.6,7
"pancreas","2000-2018","male","white","invasive",">65","84 mo",8310,6,5.4,6.8
"pancreas","2000-2018","male","white","invasive",">65","96 mo",8310,5.4,4.6,6.1
"pancreas","2000-2018","male","white","invasive",">65","108 mo",8310,4.9,4.1,5.7
"pancreas","2000-2018","male","white","invasive",">65","120 mo",8310,4.5,3.7,5.5
"pancreas","2000-2018","male","white","early","all ages","0 mo",1104,100,NA,NA
"pancreas","2000-2018","male","white","early","all ages","12 mo",1104,62.5,59.4,65.4
"pancreas","2000-2018","male","white","early","all ages","24 mo",1104,52.4,49.1,55.5
"pancreas","2000-2018","male","white","early","all ages","36 mo",1104,49.8,46.4,53
"pancreas","2000-2018","male","white","early","all ages","48 mo",1104,48,44.5,51.4
"pancreas","2000-2018","male","white","early","all ages","60 mo",1104,46.8,43.2,50.4
"pancreas","2000-2018","male","white","early","all ages","72 mo",1104,46.3,42.5,50.1
"pancreas","2000-2018","male","white","early","all ages","84 mo",1104,45.5,41.5,49.4
"pancreas","2000-2018","male","white","early","all ages","96 mo",1104,44.6,40.2,48.9
"pancreas","2000-2018","male","white","early","all ages","108 mo",1104,42.1,37,47.1
"pancreas","2000-2018","male","white","early","all ages","120 mo",1104,41.1,35.9,46.3
"pancreas","2000-2018","male","white","early","<65","0 mo",393,100,NA,NA
"pancreas","2000-2018","male","white","early","<65","12 mo",393,83.1,78.9,86.5
"pancreas","2000-2018","male","white","early","<65","24 mo",393,75.4,70.6,79.5
"pancreas","2000-2018","male","white","early","<65","36 mo",393,71.6,66.5,76.1
"pancreas","2000-2018","male","white","early","<65","48 mo",393,69.7,64.3,74.4
"pancreas","2000-2018","male","white","early","<65","60 mo",393,68.2,62.6,73.1
"pancreas","2000-2018","male","white","early","<65","72 mo",393,66.9,61,72.1
"pancreas","2000-2018","male","white","early","<65","84 mo",393,65.4,59.2,70.8
"pancreas","2000-2018","male","white","early","<65","96 mo",393,64.8,58.4,70.4
"pancreas","2000-2018","male","white","early","<65","108 mo",393,60.6,53.5,67
"pancreas","2000-2018","male","white","early","<65","120 mo",393,59.4,51.7,66.2
"pancreas","2000-2018","male","white","early",">65","0 mo",711,100,NA,NA
"pancreas","2000-2018","male","white","early",">65","12 mo",711,51.1,47.1,54.9
"pancreas","2000-2018","male","white","early",">65","24 mo",711,39.7,35.7,43.6
"pancreas","2000-2018","male","white","early",">65","36 mo",711,37.7,33.7,41.8
"pancreas","2000-2018","male","white","early",">65","48 mo",711,36.1,31.8,40.3
"pancreas","2000-2018","male","white","early",">65","60 mo",711,34.9,30.5,39.4
"pancreas","2000-2018","male","white","early",">65","72 mo",711,34.8,30.2,39.4
"pancreas","2000-2018","male","white","early",">65","84 mo",711,34.3,29.3,39.4
"pancreas","2000-2018","male","white","early",">65","96 mo",711,33.4,27.8,39
"pancreas","2000-2018","male","white","early",">65","108 mo",711,31.9,25.4,38.6
"pancreas","2000-2018","male","white","early",">65","120 mo",711,30.3,23.6,37.2
"pancreas","2000-2018","male","white","late","all ages","0 mo",11858,100,NA,NA
"pancreas","2000-2018","male","white","late","all ages","12 mo",11858,31.3,30.4,32.1
"pancreas","2000-2018","male","white","late","all ages","24 mo",11858,14.7,14,15.4
"pancreas","2000-2018","male","white","late","all ages","36 mo",11858,9.3,8.8,9.9
"pancreas","2000-2018","male","white","late","all ages","48 mo",11858,7.2,6.7,7.8
"pancreas","2000-2018","male","white","late","all ages","60 mo",11858,6.1,5.6,6.6
"pancreas","2000-2018","male","white","late","all ages","72 mo",11858,5.4,4.9,5.9
"pancreas","2000-2018","male","white","late","all ages","84 mo",11858,5,4.5,5.5
"pancreas","2000-2018","male","white","late","all ages","96 mo",11858,4.3,3.8,4.8
"pancreas","2000-2018","male","white","late","all ages","108 mo",11858,3.8,3.3,4.4
"pancreas","2000-2018","male","white","late","all ages","120 mo",11858,3.5,2.9,4
"pancreas","2000-2018","male","white","late","<65","0 mo",4818,100,NA,NA
"pancreas","2000-2018","male","white","late","<65","12 mo",4818,37.4,36,38.8
"pancreas","2000-2018","male","white","late","<65","24 mo",4818,18.2,17.1,19.4
"pancreas","2000-2018","male","white","late","<65","36 mo",4818,12,11,12.9
"pancreas","2000-2018","male","white","late","<65","48 mo",4818,9.3,8.4,10.2
"pancreas","2000-2018","male","white","late","<65","60 mo",4818,7.8,7,8.7
"pancreas","2000-2018","male","white","late","<65","72 mo",4818,7.1,6.3,8
"pancreas","2000-2018","male","white","late","<65","84 mo",4818,6.6,5.8,7.5
"pancreas","2000-2018","male","white","late","<65","96 mo",4818,5.8,5.1,6.7
"pancreas","2000-2018","male","white","late","<65","108 mo",4818,5.2,4.5,6.1
"pancreas","2000-2018","male","white","late","<65","120 mo",4818,4.8,4,5.6
"pancreas","2000-2018","male","white","late",">65","0 mo",7040,100,NA,NA
"pancreas","2000-2018","male","white","late",">65","12 mo",7040,27.1,26,28.1
